URL,MARKED
https://www.alo.rs/vesti/politika/1093525/blokaderi-napali-autoput-milos-veliki-policija-hapsi/vest,"Pedesetak ekstremista blokiralo je autoput Miloš Veliki i ugrozilo stotine vozača. U Italiji bi za to dobili do dve godine zatvora. Kod nas – još niko ne odgovara. <mark>Pedesetak mentalno poremećenih zgubidana večeras je opet odlučilo da izazove haos i teror na autoputu Miloš Veliki, direktno ugrožavajući sve građane koji koriste ovu najvažniju saobraćajnicu u zemlji.</mark> Bez trunke razuma i osećaja odgovornosti, oni su blokirali saobraćaj, ne shvatajući da neko može nastradati dok pokušava da izbegne njihovu divljačku akciju. <mark>Umesto da se leče ili rade nešto korisno, ova skupina uličnih ekstremista pokušava da glumi revoluciju na račun bezbednosti svih nas.</mark> Interventne jedinice i žandarmerija su intervenisali. Nekima su stavljene lisice na ruke. <mark>Svi blokaderi teroristi su legitimisani, a nepropisno parkirani automobili popisani.</mark> Na teren je izašla i kontra diverziona jedinica koja iz za sada nepoznatih razloga pretražuje teren. Blokada kao zločin: Šta kaže Italija? U uređenim državama, ovakvi postupci se ne tolerišu. U Italiji, recimo, blokiranje puta – čak i ako je mirno i samostalno – više nije samo prekršaj, već ozbiljno krivično delo. Prema najnovijoj Uredbi o bezbednosti, koja je stupila na snagu 10. juna 2025. godine, svako ko blokira put rizikuje do mesec dana zatvora ili novčanu kaznu do 300 evra. <mark>A kada to uradi grupa zgubidana – kao što smo večeras gledali kod Lajkovca – kazne se pooštravaju: zatvor od šest meseci do dve godine!</mark> Ne pravi se razlika da li je saobraćaj blokiran telom ili predmetima – po zakonu je to isto. Jer blokada je blokada. Jer ugrožen život je ugrožen život. Zakon mora da važi i kod nas! <mark>Ako Italija može da hapsi one koji ometaju slobodu kretanja, zašto bismo mi tolerisali šačicu besposličara koji misle da je njihova ulica?</mark> U Italiji je i nezakonito zauzimanje zgrada sada krivično delo kažnjivo zatvorom od 2 do 7 godina, a kod nas još čekamo da se i najteži prekršioci sprovedu pred lice pravde. Ove scene sa autoputa su više nego dovoljne da se zapitamo: koliko još treba da čekamo da država pokaže zube? Jer jedno je protest, a drugo je nasilje nad narodom. A ovo večeras bila je nasilna blokada, teror nad porodicama, vozačima, hitnim službama i celim društvom."
https://www.alo.rs/vesti/politika/1093690/sram-vas-bilo-fasisticke-kukavice-milos-vucevic-otkrio-ko-stoji-iza-napada-na-marka-durica/vest,"Predsednik SNS i savetnik predsednika Republike Miloš Vučević uputio je danas podršku ministru spoljnih poslova Marku Djuriću, koji je napadnut dok je šetao sa maloletnim ćerkama <mark>""Sram vas bilo, fašističke kukavice! Napad na Marka Đurića dok je šetao sa svojim maloletnim ćerkicama je direktna posledica stalnog huškanja blokadera nasilnika i mrziteljske kampanje koju sprovode Šolakovi mediji"", naveo je Vučević na mreži Iks.</mark> Poručio je da je Beograd uvek bio slobodarski grad i borio se protiv fašističkog zla. Dodao je da će se borba nastaviti i dalje, kao i da će pobediti one koji danas pokušavaju u Srbiju da vrate najstrašnije zlo koje je haralo Evropom od 30-tih godina prošlog veka, a koji primenjuju fašističke metode obračuna sa političkim neistomišljenicima. ""Srbija pobeđuje svakog dana jer pruža sve vreći otpor ovima što mrze, zastrašuju, vređaju, prete ubijanjem i vešalima i pokušavaju da unište i zabrane SNS! Podrška bratu Marku! Još jače u borbi za pristojnu i normalnu Srbiju"", naveo je Vučević. Đurić je ranije danas saopštio da je nakon lažnih vesti o sporazumu o dovođenju stranaca izložen brojnim pretnjama na društvenim mrežama, a da je pre nekoliko dana napadnut na ulici dok je sa trima ćerkama šetao , kako kaže, mestom kom pripada od rođenja. ""Počinilac je višestruko osuđivani nasilnik iz drugog mesta, koji je u trenutku napada bio i pod dejstvom narkotika. Prijavio sam policiji i tužilaštvu, da urade svoj posao - ne i javnosti"", naveo je Đurić na mreži Iks."
https://www.alo.rs/vesti/politika/1093327/srbija-s-vucicem-i-vucevicem-na-celu-pobedice-vas-radom-i-rezultatima-ministarka-mesarovic-deklasirala-mariniku-tepic/vest,"Potpredsednica Vlade i ministarka privrede Adrijana Mesarović reagovala je na svom Instagramu na istup opozicionarke Marinike Tepić (SSP) - <mark>Marinika Tepić – simbol licemerja i bezočne laži u srpskoj politici – ponovo pokušava da se predstavi kao žrtva, iako je godinama jedan od najglasnijih zagovornika haosa, nasilja i političkog linča.</mark> <mark>I dok ona glumi moralnu gromadu, niko ne zaboravlja kako je sa pozicije pokrajinske sekretarke izvlačila milione iz budžeta Vojvodine.</mark> Ni kako je, sa Đilasom kao njenim mentorom, pretvarala javne funkcije u bankomate za njihove privatne firme - napisala je Mesarović i dodala: - <mark>Njen cilj je jasan: kroz laži, histeriju i podmetanja, pokušava da prikrije sopstveni politički neuspeh. A kada joj ne pođe za rukom da lažima uruši institucije, onda šalje svoje fašističke grupe da opsedaju domove ljudi koje ne može da pobedi na izborima.</mark> I ništa nije niže od onoga što rade. - S druge strane, važno je naglasiti – niti je Miloš Vučević ikada pozivao bilo koga da ide na bilo čiju kućnu adresu, niti je to iko iz Srpske napredne stranke ikada radio. Ta vrsta politike i taj stepen agresije pripadaju upravo njima, onima koji bi da upadaju u institucije, maltretiraju porodice i pretnjama zamenjuju argumente. Poraženi su na izborima, poniženi u narodu, razotkriveni u svojoj mržnji. I sada, u poslednjem grču, napadaju sve ono što Srbija poštuje – porodicu. Ali jedno ne razumeju: Srbija se ne ruši tako. Srbija se ne pali. Srbija se ne uzima na silu. Srbija na čelu sa našim predsednikom Aleksandrom Vučićem i predsednikom Srpske napredne stranke Milošem Vučevićem će vas pobediti radom i rezultatima. I više nikada vam neće dozvoliti da se vratite na vlast kako biste ponovo pljačkali, delili, gazili - saopštila je ministarka. - Dosta više laži, dosta više pretnji, dosta više nasilja - navela je Mesarović na svom Instagramu."
https://informer.rs/politika/vesti/1038058/blokaderi-protest-beograd,"U Beogradu je danas zabeležena još jedna blokada, ali ovog puta sa minimalnim brojem učesnika. Naime, blokaderi su zaustavili normalan tok saobraćaja u Zemunu, na Bulevaru Kralja Aleksandra i u ulici Maksima Gorkog na Vračaru. <mark>Grupa protestanata, nazvani ""zgubidanima"" zbog niske organizovanosti, blokirala je tri lokacije u glavnom gradu, ali nije se okupio očekivani broj ljudi.</mark> Iako je situacija delovala kao pokušaj izazivanja gužve, protest je bio daleko od masovnog. <mark>Ovo je još jedan pokazatelj da su blokaderi pukli i da je građanima dosta blokada i nereda koje šaka jada izaziva već mesecima.</mark> <mark>Kako smo već pisali, šačica zgubidana došla je da blokira Valjevo, a prema snimku u nastavku može se videti da ih je bilo svega da mogu da se broje na prste jedne ruke .</mark>"
https://informer.rs/politika/vesti/1037779/tajkunski-n1-blokaderi-turizam-u-beogradu,"Antisrpska televizija N1 objavila je prilog od kojih je mnogima pripala muka, kako zbog neuspelog pokušaja da njeni zaposleni budu kreativni i duhoviti, tako i zbog činjenice da je tema kojom se bave turizam u Beogradu - da nije smešno, bilo bi tužno! <mark>Naime, upravo je ta tajkunska televizija, koja promoviše antisrpstvo, podržavajući blokadere i rušenje Srbije prethodnih meseci bukvalno dovela do osetnog pada broja turista u Srbiji, posebno u Beogradu.</mark> Snimak sa N1 započinje obraćanjem voditeljke iz studija, koja najavljuje uključenje reporterke konstatacijom da su mnogi u ovo doba godine odabrali da idu put nekih egzotičnijih krajeva, ali da ima i onih koji su ostali, pa im treba preporučiti kako da ove dane provedu u glavnom gradu Srbije. Tada se u kadru pojavljuje reporterka sa čuvenom teget kapicom na glavi, na kojoj je crvena petokraka - ona koju su omladinci i pioniri s ponosom nosili u vreme Josipa Broza Tita. Mlada novinarka odmah je počela da odgovara na pitanje šta to Beograd nudi u ovo doba godine. - Pa, dve reke, hramove, muzeje, bogatu istoriju ... evo ja sam se vratila u pionirke... - započinje svoje obraćanje mlada reporterka, a zatim se svom sagovorniku, turističkom vodiču, obraća rečju ""druže"". <mark>Pogledajte kako izgleda prilog koji je ništa manje od oličenja licemerja antisrpske N1 koja je prethodnih meseci huškala blokadere da masovno izlaze na ulice, podsticala nasilje i podržavala nasilnike, istovremeno optužujući aktuelnu vlast za represiju .</mark> Potpuno očekivano, takva slika se širila svetom i mnogo je manji broj onih koji su se usudili da u poslednjim mesecima posete našu zemlju. Inače, prema zvaničnim podacima, u periodu januar-maj ove godine, u odnosu na isti period prošle godine, ukupan broj dolazaka turista u Srbiju manji je za 3,1 odsto, dok je ukupan broj noćenja manji za 4,5 odsto."
https://informer.rs/politika/vesti/1037665/satanisticke-orgije-skc,"<mark>Golotinja, razvrat, blud i anarho-komunističke poruke dominiraju kroz video i foto materijal koji je pronađen na mrežama Deblokadom Studentskog kulturnog centra u javnost su isplivale šokantne informacije o tome šta se tokom pet meseci dešavalo u tom zdanju kulture.</mark> Prvi ulazak novinara u zgradu doveo je do prvih fotografija, koje su zgrozile sve, piše portal 24sedam . Ipak, naknadnim uvidom u instagram profile blokadera došlo se do saznanja da su u SKC sprovođene satanističke žurke sa okultnim i luciferijanskim orgijama. Njih su sprovodili anarho-komunisti koji su zaposeli zgradu, o čemu su, ispostavilo se, redovno izveštavali svoje pratioce na društvenim mrežama. Iako se pad nadstrešnice na zgradi Železničke stanice u Novom Sadu dogodio 1. novembra prošle godine, anarho-komunisti su u SKC pravili žurku 11., kao i 13. novembra uz orgije. Golotinja, razvrat, blud i anarho-komunističke poruke dominiraju kroz video i foto-materijal koji je pronađen na mrežama. <mark>Iste blokaderke koje će kasnije da orobe i unište SKC, zabeležile su i materijal koji je skaradn i skandalozan a aludira na lezbejski seks 15. decembra, izuzetno žaleći za tragično izgubljenim životima u Novom Sadu.</mark> <mark>Ipak, po nalogu gazda iz zapadnih obaveštajnih službi, koji su rukovodili umrlom obojenom revolucijom u Srbiji, nakon blokade SKC to kultno zdanje postaje njihovo satanističko leglo.</mark> <mark>Već 3. aprila u toj zgradi jedna od blokaderki snima ""skeč"" u kojem je vidno drogirana i pijana u toaletu, koji je već tada bio išaran raznim satanističkim i blokaderskim grafitima.</mark> Fotografije iz blokiranog SKC-a prikazuju da je na satanističkim žurkama u ovoj instituciji prikazivana odsečena ovčja glava, a da su neki od blokadera umazani krvlju. Takođe, jedna od blokaderki bila je skaradno obučena na način da predstavlja anđela. Na žurkama su neke devojke bile vezivane lisicama, a fotografije takođe pokazuju i da su alkohol kao i narkotici konzumirani u velikim količinama. Užasi onoga što se dešavalo u SKC bili su vidljivi i 7. maja, gde se vidi potpuno uništen prostor SKC, u kojem su ogromne količine alkohola. Kulminacija okultnog i satanističkog ritualnog blokiranja SKC desila se 1. juna kada je organizovana ""modna revija"", tj. parada skaradnosti, koja je zaprepastila sve. Jedna od fotografija prikazuje oskrnavljenu zastavu Republike Srbije. <mark>Dok se u javnosti jedan deo blokadera predstavlja kao patriote, dok mašu srpskim zastavama i obmanjuju javnost pričama o lepom ponašanju i kulturi, zdanja kulture su prepustili okultistima i satanistima, koji u njima prave orgije.</mark> To je slika blokaderskog pokreta i buduća Srbiju koju oni obećavaju."
https://informer.rs/politika/vesti/1034856/mesarovic-osudila-napad-na-vucevica,"Potpredsednica Vlade i ministarka privrede Adrijana Mesarović oštro je osudila napade blokadera na lik i delo lidera naprednjaka Miloša Vučevića i njegovu porodicu. - <mark>Sram vas bilo ološi i kukavice!</mark> Pretite jednom političaru, jednom od najboljih i najpoštenijih političara koje je Srbija ikad imala, i njegovoj deci i porodici samo zato što se sa njim politički ne slažete, što ne možete da ga pobedite pa mu crtate metu na čelo. Kukavički se krijete iza nekih letaka i lažnih profila sa kojih pozivate na nezapamćeni linč našeg predsednika SNS-a Miloša Vučevića . Da li je to demokratija za koju se navodno borite? Ne, nije! To je čist fašizam! <mark>Pretnje i manipulacija po najgorim Gebelsovim metodama sa vaših tajkunsko-blokaderskih medija - napisala je Mesarović na Instagramu.</mark> Mesarović je navela da su blokaderi udarili tamo gde niste smeli, na decu i porodicu političkih neistomišljenika. - <mark>Ovo je dokaz nacističke i fašističke politike blokaderkih nasilnika i njihovih opozicionih i tajkunskih mecena.</mark> Apelujem na nadležne da se otkrije i svaki do jednog procesuira jer ugrožavaju bezbednost i život našeg predsednika SNS-a Miloša Vučevića i njegove porodice. Ovim jezivim napadima samo dokazuju da su im pukli svi dosadašnji pokvareni planovi rušenja države i izazivanja obojene revolucije, i da više ne znaju šta će pa pokušavaju da izazovu krvoproliće - istakla je Mesarović i dodala da će se još snažnije boriti za pristojnu Srbiju. - Oni koji napadaju naše porodice i našu decu nikada neće pobediti! Pristojna i normalna Srbija je uz našeg predsednika Srpske napredne stranke Miloša Vučevića! <mark>To što je on uradio kao gradonačelnik Novog Sada, kao premijer Srbije i lider SNS, ti opskurni likovi, blokaderi nasilnici, nikada neće moći da omalovaže i izbrišu, a to ih najviše i boli- nikada neće moći da pobede Srpsku naprednu stranku!</mark> Predsedniče Srpske napredne stranke, uz Vas i Vašu porodicu smo svim srcem i svom snagom! Hvala Vam što stojički i uzdignute glave trpite ovakve udare i napade na Vašu porodicu i nastavljate da se neiscrpno borite za dalji rast i napredak naše otadžbine Srbije i bolji život svih njenih građana! Pobediće Srbija - napisala je Mesarović."
https://24sedam.rs/politika/vesti/405307/dosije-eks-katedra-otkriva-zaveru-na-univerzitetima/vest,"<mark>Novi dokumentarni serijal u produkciji Centra prikazuje na koji način su univerziteti u tri najveća srpska grada – Beogradu, Novom Sadu i Nišu, okupirani od strane anacionalne, drugosrbijanske elite, koja je u sprezi sa stranim centrima moći pokušala da potpuno razori srpski obrazovni sistem!</mark> Trojka predvođena rektorom beogradskog Univerziteta Vladanom Đokićem, profesorom Filozofskog fakulteta u Novom Sadu Dinkom Gruhonjićem i bivšom dekankom Filozofskog fakulteta u Nišu, Natalijom Jovanović, poput troglavog psa Kerbera pokušala je da potpuno blokira visoko obrazovanje u Srbiji i podredi ga svojim i interesima njihovih stranih nalogodavaca. Sve o zaveri agenata stranog interesa na srpskim univerzitetima saznajte u prvoj epizodi serijala koja će se emitovati u subotu u 22 časa na TV Prva i nedelju u 22.15 na televiziji B92."
https://informer.rs/politika/vesti/1038125/blokaderi-gube-podrsku-marko-milanovic-n1,"<mark>Očajni zgubidani, među kojima je i Marko Milanović, blokaderski profesor međunarodnog prava, zakukali su na Šolakovoj antisrpskoj televiziji N1 jer im ne polazi za rukom da sruše predsednika Aleksandra Vučića, a uz to ubrzano gube podršku na svakom koraku.</mark> Zbog toga su otvoreno priznali da se nadaju ekonomskoj krizi. Milanović je gostujući na N1 najpre istakao kako se ""aktuelni režim klima, ali da ni pre 6 meseci nije bio gotov, kao što nije gotov ni danas"" jer je, kako je naglasio, ""opao intenzitet javne mobilizacije"". Time je ovaj zagovornik haosa u sopstvenoj zemlji priznao da njegovi zgubidani svakim danom sve više i više gube podršku.  - Donekle je nivo javne mobilizacije opao, što je loše, ali ono što mogu da kažem je da ako Vučić ne padne u narednih godinu, godinu i po, dakle na sledećim izborima, da če on ovde vladati beskonačno - zaljkučio je blokaderski profesor. Prema njegovim rečima, ovo je jedina prilika da se ""njega oslobode"", aludirajući na predsednika Srbije. - Ako sad to ne uspemo da uradimo, nećemo nikada - zavapio je Milanović. Dalje se u njegovom gostovanju priznaje da navodna ""studentska prednost nije nešto što ne može da bude lako osporeno"". - Postoji veliki broj ljudi koji su i dalje neodlučni, takođe postoji pitanje izlaznosti na bilo kojim izborima, vi morate da imate masovnu mobilizaciju... Dakle, ja imam strašan problem kad ljudi kažu da je Vučić gotov, da je njegov režim gotov... Njegov režim nije gotov - priznao je blokaderski profesor."
https://informer.rs/politika/vesti/1037927/djuro-macut-napad-na-kucu,"<mark>Blokaderi teroristi nastavljaju nacističke akcije odlaska na adrese funkcionera, a večaras im je meta opozicionar Marko Bastać.</mark> Oni su se okupili ispred zgrade u centru Beograda u kojoj živi Bastać, urlaju, zvone na interfon. Kažu, izdao ih je... Nacistička akcija napadanja na kuće političara s kojima se ne slažu postala je uobičajena."
